CAPCOM_A,
11,Coin Door 1 & 3
12,Coin Door 2 & 4
13,Start Button
14,Buyin
15,Eject Lock
16,Left Outlane
17,Left Inlane
18,Left GI 1
21,Night Flying
22,Saucer GI
23,Right Lane GI 1 & 2
24,Right Sling GI 1 & 2
25,Multiplier x 2
26,Multiplier x 3
27,Multiplier x 5
28,Fly Again
31,Rank Ace
32,Rank Colonel
33,Rank Major
34,Rank Captain
35,Rank Lieutenant
36,Rank Sargeant
37,Left Lane GI 1 & 2
38,Left Sling GI 1 & 2
41,JET Lane GI 1
42,JET Lane GI 2
43,JET Lane GI 3
44,JET Lane GI 4
45,Tower GI 1 & 2
46,Left GI 9
47,Tower Top
48,Left GI 10
51,Left Saucer Lock
52,Extra Ball
53,Left GI 2 & 3
54,Drop S
55,Drop H
56,Drop O
57,Drop W
58,Left Drop Stunt
61,Flyby
62,Back Saucer Lock
63,Left Ramp Standup
64,Left GI 4
65,Left GI 5
66,Left GI 6 & 7
67,Left GI 8
68,Left Ramp Stunt
71,Blue Angel Bottom
72,Left Scoop
73,Right Scoop
74,Scoop Left Standup
75,Scoop Cen Standup
76,Scoop Rt Standup
77,Center GI 3
78,Center GI 4
81,Britain
82,Spain
83,Germany
84,Italy
85,France
86,USA
87,Copilot
88,Refuel
