11,Wiki
12,Tech
13,Minion Master
14,Prison 1
15,Prison 2
16,Prison 3
17,Prison Lock
18,Left Orbit Camera
21,Door 1
22,Door 2
23,Door 3
24,Doctor Ghost
25,Theater Ghost
26,Fight Demon
27,Door Camera
28,Extra Ball
31,Jackpot
32,Ghost Target 1
33,Ghost Target 2
34,Ghost Target 3
35,EVP
36,Advance Fort
37,Advance Bar
38,Pop Camera
41,Elevator Up
42,Elevator Down
43,Hotel 1
44,Hotel 2
45,Hotel 3
46,Hotel Ghost
47,Lock
48,Hotel Camera
51,(O)RB
52,O(R)B
53,OR(B)
54,
55,Theater 1
56,Theater 2
57,Theater 3
58,Theater Camera
61,Upper Left Flasher
62,Hell Flasher
63,Scoop Flasher
64,Photo Hunt
65,Army Ghost
66,Bar Ghost
67,Spirit Guide
68,Basement Camera
71,Bosses Beaten
72,Multiball Complete
73,Photo Ace
74,Psychic
75,(G)LIR
76,G(L)IR
77,GL(I)R
78,GLI(R)
81,Spook Again
82,Hospital Mode
83,Theater Mode
84,Fort Mode
85,Bar Mode
86,Hotel Mode
87,Prison Mode
88,Demon Battle
