11,Super Jets
12,Super Jackpot
13,Martian Attack
14,Annihilation
15,Return to Battle
16,Conquer Mars
17,5-Way Combo
18,Drop Target
21,Big-o-Beam 1
22,Big-o-Beam 2
23,Big-o-Beam 3
24,L Ramp Jackpot
25,L Ramp Arrow
26,Lock 2
27,Lock 3
28,C Ramp Jackpot
31,Tractor Beam 1
32,Tractor Beam 2
33,Tractor Beam 3
34,R Ramp Jackpot
35,R Ramp Arrow
36,Martian Attack
37,Rule Universe
38,Stroke of Luck
41,R Loop Arrow
42,C Ramp Arrow
43,L Top Lane
44,R Top Lane
45,L Motor Bank
46,C Motor Bank
47,R Motor Bank
48,MAR(T)IAN
51,Attack Mars
52,U.S.A.
53,England
54,Light Lock
55,Lock 1
56,Italy
57,Germany
58,France
61,MARTIA(N)
62,MARTI(A)N
63,Atomic Blaster 1
64,Atomic Blaster 2
65,Atomic Blaster 3
66,R Loop Jackpot
67,Extra Ball
68,MART(I)AN
71,Capture 1
72,Capture 2
73,Capture 3
74,L Loop Jackpot
75,L Loop Arrow
76,(M)ARTIAN
77,M(A)RTIAN
78,MA(R)TIAN
81,Shoot Again
82,Left Outlane
83,Left Return
84,Right Return
85,Right Outlane
86,Launch Button
87,Not Used
88,Start Button
