1,Start Button
2,Tournament Button
3,Shoot Again
4,Grace
5,Tsu'Tey
6,Mo'At
7,Etukan
8,Neytiri
9,Jake
10,NAV(I)
11,NA(V)I
12,N(A)VI
13,(N)AVI
14,Right Outlane
15,Right Return Lane
16,Right 2 Bank Arrow
17,Left Return Lane (R)
18,Left Return Lane (L)
19,Left Outlane
20,1X
21,Right 2 Bank Target (Bottom)
22,Right 2 Bank Target (Top
23,Extra Ball
24,NA'VI
25,Not Used
26,Left 4 Bank Arrow
27,Amp Suit (X)
28,Captive Ball (X)
29,Link (X)
30,Amp Suit Arrow
31,Captive Ball Arrow
32,Right Orbit (X)
33,Right Loop Arrow
34,EYWA
35,AM(P)
36,A(M)P
37,(A)MP
38,Link Arrow
39,Left Orbit X
40,Left Ramp (X)
41,Left Ramp Arrow
42,Left Loop Arrow
43,Link
44,2X
45,4X
46,8X
47,Left Ramp Banshee
48,Light Unobtanium
49,Center Target Arrow
50,Center Target (X)
51,Amp Suit Arrow (Top)
52,Special
53,Amp Multiball
54,Left Top Lane
55,Middle Top Lane
56,Right Top Lane
57,Banshee
58,Link
59,AMP
60,Left Bumper
61,Right Bumper
62,Bottom Bumper
63,Valkyrie
64,Seeds
65,Not Used
66,Not Used
67,Not Used
68,Not Used
69,Not Used
70,Not Used
71,Not Used
72,Not Used
73,Not Used
74,Not Used
75,Not Used
76,Not Used
77,Not Used
78,Not Used
79,Not Used
80,Not Used
