1,Start Button
2,Tourn Button
3,Shoot Again
4,Left Outlane
5,Left Return Lane
6,Right Return Lane
7,Right Outlane
8,Captain America
9,Thor
10,Hawkeye
11,Hulk
12,Black Widow
13,Iron Man
14,(T)HOR
15,T(H)OR
16,TH(O)R
17,THO(R)
18,Hawkeye #1 (Bot)
19,Hawkeye #2
20,Hawkeye #3
21,Hawkeye #4
22,Left Orbit (Purple)
23,Tesseract Standup
24,Captain America #1 (Bot)
25,Captain America #2
26,Captain America #3
27,Captain America #4
28,Left Inner Loop (Red)
29,Special
30,Hulk Target Arrow
31,Black Widow #1 (Bot)
32,Black Widow #2
33,Black Widow #3
34,Black Widow #4
35,Left Ramp (Red)
36,Left Ramp (Grn)
37,Rt. 2 Bank Target - Top
38,Rt. 2 Bank Target - Bot
39,Hulk Eject (Grn)
40,Lamp 40
41,(C)OSMIC
42,C(O)SMIC
43,CO(S)MIC
44,COS(M)IC
45,COSM(I)C
46,COSMI(C)
47,(H)ULK
48,H(U)LK
49,HU(L)K
50,HUL(K)
51,Tesseract Standup-L
52,Tesseract Standup-R
53,Right Orbit (Red)
54,Iron Man #4
55,Iron Man #3
56,
57,Iron Man #1 (Bot)
58,Shield Agent
59,Lamp 59
60,Left Pop Bumper
61,Right Pop Bumper
62,Bottom Pop Bumper
63,Top Lane (Hulk)
64,Lamp 64
65,Top Lane (Captain America)
66,Top Lane (Hawkeye)
67,Top Lane (Thor)
68,Top Lane (Black Widow)
69,Extra Ball
70,Top Lane (Iron Man)
71,Lock 1
72,Lamp 72
73,Lock 2
74,Lamp 74
75,Lock 3
76,Lamp 76
77,Lamp 77
78,Iron Man #2
79,Lamp 79
80,Lamp 80
