11,(R)ANSOM
12,R(A)NSOM
13,RA(N)SOM
14,RAN(S)OM
15,Circle Center
16,RANS(O)M
17,RANSO(M)
18,Last Chance L
21,U-Turn R
22,Spin
23,Lock Bolt (R Eject)
24,(B)LACK
25,B(L)ACK
26,BL(A)CK
27,BLA(C)K
28,BLAC(K)
31,Extra Ball
32,Red Bolt
33,MagnaSave
34,Blue Bolt
35,Last Chance
36,U-Turn L
37,Kickback L
38,Shoot Again
41,(W)IN
42,W(I)N
43,WI(N)
44,(W)AR
45,W(A)R
46,WA(R)
47,Jackpot
48,Ransom (UPF)
51,Bolt 3
52,Bolt 2
53,Bolt 1
54,2X
55,3X
56,Bonus Hold
57,4X
58,5X
61,KNI(G)HT
62,KNIG(H)T
63,KNIGH(T)
64,(K)NIGHT
65,K(N)IGHT
66,KN(I)GHT
67,Skyway
68,Hurry-up
71,Circle Extra Ball
72,Circle 50k
73,Circle MagnaSave
74,Circle 10k
75,Circle Multiball
76,Circle 100k 
77,Circle Ransom
78,Circle 200k
81,Circle Special
82,Circle 20k
83,Circle Kickback
84,Circle 150k
85,Circle Drawbridge
86,Circle 75k
87,Circle Hurry-up
88,Circle 250k
