11,Left Rollover
12,Middle Rollover
13,Right Rollover
14,Skid Pad Arrow
15,Sticky Tires
16,Skid Pad Jackpot
17,Route 66 Arrow
18,Race Today
21,Inner Loop Arrow
22,Fuelie
23,Nitrous
24,Inner Loop Jackpot
25,Right Outer Loop Arrow
26,Z07 Suspension
27,Big Brakes
28,Super Charger
31,Lerft Outer Loop Arrow
32,Lite Lock
33,Qualify
34,Big Block
35,ZR-1 Ramp
36,6 Speed Trans
37,Hi Lift Cams
38,ZR-1 Ramp Arrow
41,Corvette 6
42,Corvette 3
43,Corvette 1
44,Corvette 2
45,Corvette 4
46,Left Standup 3
47,Left Standup 2
48,Left Standup 1
51,Corvette 9
52,Corvette 8
53,Pit Stop
54,Corvette 7
55,Corvette 5
56,Pit Stop Arrow
57,Spinner Arrow
58,Drive Again
61,Left Outer Tail
62,Left Inner Tail
63,Catch Me
64,Right Inner Tail
65,Right Outer Tail
66,Right Standup Arrow
67,Lite Kickback
68,Start Challenge
71,Kickback Arrow
72,Left Return Lane
73,Right Return Lane
74,Right Out lane
75,Million Standup
76,Side Pipe 1
77,Side Pipe 2
78,Side Pipe 3
81,Right Tree Red
82,Left Tree Red
83,Tree Bottom ellow
84,Tree Top Yellow
85,Right Tree Green
86,Left Tree Green
87,Buy In
88,Start Button
