CFTBL,Creature from the Black Lagoon
11,(P)AID
12,P(A)ID
13,PA(I)D
14,PAI(D)
15,Left Jet
16,Right Jet
17,Bottom Jet
18,Admit One
21,(K)ISS
22,K(I)SS
23,KI(S)S
24,KIS(S)
25,10 Million
26,20 Million
27,30 Million
28,Specials
31,Start Mega Menu
32,Playground
33,Lite Big Mill
34,Slide
35,Right Search
36,Right Video
37,R Start Movie
38,Mega Menu
41,Lips
42,Left Search
43,Left Video
44,L Start Movie
45,Combo Award
46,Parking O.K.
47,Move Your Car
48,Extra Ball
51,Snack Bar
52,Center Search
53,Cola
54,Hotdog
55,Super Jackpot
56,Jackpot
57,Rescue
58,Multiball Restart
61,Free Pass
62,Build Combo
63,Unlimited Millions
64,Creature Feature
65,Ex Ball Cntdown
66,Big Millions
67,Movie Madness
68,Snack Attack
71,(C)REATURE
72,C(R)EATURE
73,CR(E)ATURE
74,CRE(A)TURE
75,CREA(T)URE
76,CREAT(U)RE
77,CREATU(R)E
78,CREATUR(E)
81,(F)ILM
82,F(I)LM
83,FI(L)M
84,FIL(M)
85,Start Combo
86,Popcorn
87,Ice Cream
88,Start Bullon
