11,HOLD
12,BONUS
13,DOUBLE
14,SCORES
15,CYCLONE 50K
16,CYCLONE 100K
17,CYCLONE Gate Bonus
18,RIDE THE COMET (on ramp)
21,W/L SCORE FERRIS WHEEL BONUS
22,ADV. "X"
23,25K Balloon (Ducks)
24,50K Balloon (Ducks)
25,LITES EX. BALL Balloon (Ducks)
26,1 (Gate Lane)
27,2 (Gate Lane)
28,3 (Gate Lane)
31,RIDE AGAIN
32,SPINS MYSTERY WHEEL
33,Ducks (top)
34,Ducks (mid)
35,Ducks (bottom)
36,Ball Toss (top)
37,Ball Toss (mid)
38,Ball Toss (bottom)
41,EXTRA BALL (L Outlane)
42,EXTRA BALL (R Outlane)
43,COMET 20K
44,COMET 40K
45,COMET 60K
46,COMET 80K
47,COMET 100K
48,COMET 1 MILLION
51,Mystery Wheel (top)
52,Mystery Wheel (r of top 1)
53,Mystery Wheel (r of top 2)
54,Mystery Wheel (r of top 3)
55,Mystery Wheel (right)
56,Mystery Wheel (below right 1)
57,Mystery Wheel (below right 2)
58,Mystery Wheel (below right 3)
61,Mystery Wheel (bottom)
62,Mystery Wheel (l of bottom 1)
63,Mystery Wheel (l of bottom 2)
64,Mystery Wheel (l of bottom 3)
65,Mystery Wheel (left)
66,Mystery Wheel (above left 1)
67,Mystery Wheel (above left 2)
68,Mystery Wheel (above left 3)
71,2X
72,7X
73,6X
74,5X
75,4X
76,3X
77,MYSTERY (backglass)
78,WHEEL (backglass)
81,  500,000 Bonus (backglass)
82,1,000,000 Bonus (backglass)
83,1,500,000 Bonus (backglass)
84,2,000,000 Bonus (backglass)
85,2,500,000 Bonus (backglass)
86,3,000,000 Bonus (backglass)
87,3,500,000 Bonus (backglass)
88,4,000,000 Bonus (backglass)
