DN,Diner
11,20k Cash Register
12,40k Cash Register
13,60k Cash Register
14,80k Cash Register
15,100k Cash Register
16,L Return Lane
17,R Return Lane
18,Extra Ball R Outlane
21,Serve Again
22,Ramp 500K Left Ramp
23,Ramp 500K Right Ramp
24,Lock L Ramp
25,Release
26,Rush 1
27,Rush 2
28,Spinner
31,(D)INER
32,D(I)NER
33,DI(N)ER
34,DIN(E)R
35,DINE(R)
36,(E)AT
37,E(A)T
38,EA(T)
41,Jukebox 1
42,Jukebox 2
43,Jukebox 3
44,Jukebox 4
45,Jukebox 5
46,Hot Dog
47,Burger
48,Chili
51,Haji
52,Babs
53,Boris
54,Pepe
55,Buck
56,Root Beer
57,Fries
58,Iced Tea
61,100K Grill Bonus
62,250K Grill Bonus
63,500K Grill Bonus
64,1M Grill Bonus
65,Extra Ball Grill Bonus
66,Spot Food Left
67,Cup Scores 10X
68,Extra Ball L Outlane
71,1 o'clock
72,2 o'clock
73,3 o'clock
74,4 o'clock
75,5 o'clock
76,6 o'clock
77,7 o'clock
78,8 o'clock
81,9 o'clock
82,10 o'clock
83,11 o'clock
84,12 o'clock
85,Top 5 Hits w/Lit
86,Today's Special
87,Dine Time Collect
88,Spot Food Right
