11,(E)SCAPE
12,E(S)CAPE
13,ES(C)APE
14,ESC(A)PE
15,ESCA(P)E
16,ESCAP(E)
17,Left Drain
18,Left Return
21,Right Return
22,Right Drain
23,Doctor 7
24,ESCAPE Special
25,ESCAPE 3M
26,ESCAPE 2M
27,ESCAPE 1M
28,ESCAPE 500K
31,5x3 Top Left 1
32,5x3 Top Left 2
33,5x3 Top Left Middle
34,5x3 Top Right 2
35,5x3 Top Right 1
36,Doctor 2
37,Hangon Score
38,Video Mode
41,5x3 Middle Left 1
42,5x3 Middle Left 2
43,5x3 Middle Middle
44,5x3 Middle Right 2
45,5x3 Middle Right 1
46,Transmat Award
47,Tardis
48,Doctor 1
51,5x3 Bottom Left 1
52,5x3 Bottom Left 2
53,5x3 Bottom Middle
54,5x3 Bottom Right 2
55,5x3 Bottom Right 1
56,Mini-ply Left Lock
57,Mini-ply Right Lock
58,Mini-ply Target
61,(R)EPAIR
62,R(E)PAIR
63,RE(P)AIR
64,REP(A)IR
65,REPA(I)R
66,REPAI(R)
67,Doctor 5
68,Shoot Again
71,Doctor 4
72,Doctor 6
73,1.5X
74,2X
75,2.5X
76,3X
77,3.5X
78,4X
81,(W)HO
82,Doctor 3
83,WHO 1M
84,WHO 2M
85,WHO Lite Extra Ball
86,Ball Transmat-Adv Bonus X
87,Launch Ball
88,Game Start
