1,Rock Again
2,Left Outlane
3,Left Return Lane
4,Right Return Lane
5,Right Outlane
6,Spot Note
7,Scarf
8,(T)CB
9,Hound Dog
10,Blue Suede Shoes
11,Heart-Break Hotel
12,Jail-House Rock
13,All Shook Up
14,Hits Completed
15,Elvis Collected
16,Top 10 Completed
17,10
18,9
19,8
20,7
21,6
22,Left Ramp Arrow
23,Left Ramp Shook
24,Left Ramp Note
25,5
26,4
27,3
28,2
29,1
30,Right Ramp Arrow
31,Right Ramp Up
32,Right Ramp Note
33,(E)LVIS
34,E(L)VIS
35,EL(V)IS
36,ELV(I)S
37,ELVI(S)
38,Right Orbit Arrow
39,Gift From Elvis
40,Right Orbit Note
41,Left Orbit Arrow
42,Left Orbit Blue Suede Shoes
43,Left Orbit All  
44,Left Orbit Note
45,(K)ING
46,K(I)NG
47,KI(N)G
48,KIN(G)
49,Hound  
50,Dog
51,Center Loop Arrow
52,Center Loop Blue Suede Shoes
53,Center Loop Note
54,Lock
55,Jackpot
56,Super Jackpot
57,Left Top Lane
58,Center Top Lane
59,Right Top Lane
60,Heart
61,Break
62,Hotel
63,T(C)B
64,TC(B)
65,Video Mode
66,Gold Record
67,King of Rock N Roll
68,Lite Extra Ball
69,Encore Letter
70,Graceland
71,Special
72,Extra Ball
73,(E)NCORE
74,E(N)CORE
75,EN(C)ORE
76,ENC(O)RE
77,ENCO(R)E
78,ENCOR(E)
79,Tournament Button
80,Start Button
