11,Not Used
12,Not Used
13,Not Used
14,Fire Multipliers X2
15,Fire Multipliers X3
16,Fire Multipliers X5
17,Fire Multipliers X7
18,Fire Multipliers X10
21,Rescue Shot
22,16 X 2 (center windows)
23,Lower Left 3-Bank (top)
24,Lower Left 3-Bank (center)
25,Lower Left 3-Bank (bottom)
26,Lower Right 3-Bank (top)
27,Lower Right 3-Bank (center)
28,Lower Right 3-Bank (bottom)
31,Upper Left 3-Bank (top)
32,Upper Left 3-Bank (center)
33,Upper Left 3-Bank (bottom)
34,Upper Right 3-Bank (top)
35,Upper Right 3-Bank (center)
36,Upper Right 3-Bank (bottom)
37,16 X 2 (upper left windows)
38,16 X 2 (upper right windows)
41,Fight Fire Again
42,Fire Plug
43,Raise Fireplug (left)
44,Raise Fireplug (right)
45,Rescue Victim (left)
46,Rescue Victim (right)
47,Extra Ball (left)
48,Extra Ball (right)
51,Special (left outlane)
52,Special (right outlane)
53,3-Bank Buildings (upper left)
54,3-Bank Buildings (upper left)
55,Flames (left ramp)
56,Trap (left)
57,Flames (right ramp)
58,Trap (right)
61,West Side
62,East Side
63,Not Used
64,Left shop window 2X
65,Left center shop window 3X
66,Center shop window 4X
67,Right center shop window 5X
68,Right shop window 10X
71,3-Bank Buildings (upper right)
72,3-Bank Buildings (upper right)
73,Not Used
74,Corner Buildings (upper left)
75,Center Building (upper left)
76,Center Building (upper right)
77,Corner Buildings (upper right)
78,Corner Buildings (upper right)
81,Left Kickbig Buildings
82,Left Kickbig Buildings
83,Right Lockup Buildings
84,Not Used
85,Put Out Fire (left return)
86,Put Out Fire (right return)
87,Lites Rescue (left ramp)
88,Lites Rescue (right ramp)
