11,Hold Bonus
12,Video Mode
13,Rock the Boat
14,Light Ex. Ball
15,Instant Multi-Ball
16,(L)IE
17,L(I)E
18,LI(E)
21,Stringer 1 Body
22,Stringer 2 Body
23,Stringer 3 Body
24,Stringer 4 Body
25,L Feed Frenzy
26,Monster Bonus
27,Fish Finder
28,Jackpot
31,Stringer 1 Tail
32,Stringer 2 Tail
33,Stringer 3 Tail
34,Stringer 4 Tail
35,R Boat En????
36,R Boat Feed Frnz
37,Fish Finder
38,L Boat Feed Frnz
41,Tropical
42,Freshwater
43,Cast Again
44,Deep Sea
45,Left Fish Head
46,Left Fish Body
47,Left Fish Tail
48,Specials
51,Bonus 1X
52,Bonus 2X
53,Auto Cast
54,Bonus 4X
55,Right Fish Head
56,Right Fish Body
57,Right Fish Tail
58,Light Long Cast
61,School Fish 1
62,School Fish 2
63,School Fish 3
64,School Fish 4
65,School Fish 5
66,School Fish 6
67,Super Jackpot
68,Light Fish Finder
71,Casters Club
72,Doubles Jackpot
73,Lock 3
74,Lock 2
75,Lock 1
76,R Feed Frenzy
77,Long Cast
78,Extra Ball
81,Stretch 5X
82,Stretch 3X
83,Stretch 2X
84,Stretch Actual
85,Stretch Total Lie
86,Video Mode
87,Cast
88,Start Button
