HS2,The Getaway - High Speed II,
11,Freeway 1, 
12,Freeway 2, 
13,Freeway 3, 
14,Freeway 4, 
15,Freeway 5, 
16,Speed (2), 
17,Left Freeway, 
18,Lock (2), 
21,2X, 
22,4X, 
23,Hold Bonus, 
24,6X, 
25,8X, 
26,Getaway, 
27,Speed Millions, 
28,Super Jackpot, 
31,Top Red, 
32,Top Yellow, 
33,Top Green, 
34,Right Freeway, 
35,Special (2), 
36,Video Mode, 
37,Random Lamp, 
38,Extra Ball, 
41,Tach 1, 
42,Tach 2, 
43,Tach 3, 
44,Tach 4, 
45,Tach 5, 
46,Bot Red, 
47,Bot Yellow, 
48,Bot Green, 
51,Shoot Again, 
52,Kickback, 
53,Tach 11, 
54,Tach 12, 
55,Tach 13, 
56,Tach 14, 
57,Tach 15, 
58,Shift, 
61,Right Return, 
62,Left Return, 
63,6 Bank Bot(2), 
64,6 Bank Mid(2), 
65,6 Bank Top(2), 
66,Supercharger, 
67,R.L.M., 
68,Start Button, 
71,4th Gear, 
72,5th Gear, 
73,Stop Light R, 
74,Stop Light Y, 
75,Stop Light G, 
76,1st Gear, 
77,2nd Gear, 
78,3rd Gear, 
81,Tach 9, 
82,Tach 10, 
83,Mid Red, 
84,Mid Yellow, 
85,Mid Green, 
86,Tach 6, 
87,Tach 7, 
88,Tach 8, 
