1,Race Position 10
2,Victory Lap
3,Final Practice
4,100K
5,Standup Left
6,(R)ACE
7,Left Pop
8,Special & Millions
9,Race Position 9
10,Esses
11,Infield Party
12,150K
13,100K
14,R(A)CE
15,Right Pop
16,Garage
17,Race Position 8
18,2X Hauler Miles
19,Fast Turns
20,200K
21,150K
22,RA(C)E
23,Bottom Pop
24,Fuel
25,Race Position 7
26,Collect RACE
27,Test Car
28,250K
29,200K
30,RAC(E)
31,(C)HAMP #1
32,Pit Road Sign
33,Race Position 6
34,Jackpot
35,Hauler Ride
36,Hard Racing
37,250K
38,Spin
39,C(H)AMP #1
40,Move Up
41,Race Position 5
42,Bonus Jackpot
43,Light Extra Ball
44,Collect RACE
45,Speed Shots
46,Jackpot
47,CH(A)MP #1
48,CHAMP #1
49,Race Position 4
50,Multiball
51,Tough Racing
52,Jackpot
53,Collect RACE
54,Extra Ball
55,CHA(M)P #1
56,Scanner
57,Race Position 3
58,Lock
59,Quick Stop
60,Spinners X2
61,Jackpot
62,Mode Bonus
63,CHAM(P) #1
64,Jackpot
65,Race Position 2
66,Collect RACE
67,Super Fan
68,2 to Go
69,Left Ramp Standup (Left)
70,Collect RACE
71,CHAMP (#1)
72,Shoot Again
73,Race Position 1
74,Jackpot
75,Fuel Only
76,1 to Go
77,Left Ramp Standup (Right)
78,Super Jackpot
79,Tournament Button
80,Start Button
