11,Cross Grid Top Dizzy
12,(R)OCK
13,R(O)CK
14,RO(C)K
15,ROC(K)
16,COMA
17,Multi-Ball Ready
18,Add Band Members
21,Same Player Shoots Again
22,Cross Grid Left Matt
23,Double Mode
24,(R)OSES
25,R(O)SES
26,RO(S)ES
27,ROS(E)S
28,ROSE(S)
31,Left Outlane Patience
32,Left Return Lite Rock
33,Cross Grid Upr. Center Axl
34,(G)UNS
35,G(U)NS
36,GU(N)S
37,GUN(S)
38,GUNS (N) ROSES
41,Right Outlane Michelle
42,Right Return Lite Guitar
43,Captive Ball
44,Cross Grid Right Duff
45,(D)UFF
46,D(U)FF
47,DU(F)F
48,DUF(F)
51,R Ramp Rose Millions
52,R Ramp Jackpot
53,R Ramp Enter
54,Magnets ON
55,Cross Grid Lwr. Cntr. Slash
56,G Ramp Gun Millions
57,G Ramp Jackpots
58,G Ramp Enter
61,Riot Ball
62,Axl 3-Ball
63,Dizzy Ball
64,Duff Rocks
65,Super Snake Pit
66,Cross Grid Bottom Gilby
67,RIOT Jackpot
68,Super Jackpot
71,Matt Scoring
72,Slash Solo
73,Lite COMA
74,Gilby Rolls
75,Extra Ball
76,Mystery Scoop
77,Left Shooter/Left Ramp
78,Roll
81,(J)AM
82,J(A)M
83,JA(M)
84,Back Stage Pass
85,Slash
86,Right Shooter Lane
87,Extra Ball Button
88,Credit
