01,Start Button
02,Tournament Button
03,Lamp 03
04,Lamp 04
05,Lamp 05
06,Lamp 06
07,Last Crusade
08,Blue Arrow
09,Raiders of the Lost Ark (Tally)
10,Raiders 4
11,Raiders 3
12,Light Mystery
13,Special (Right)
14,Raiders 2
15,Shoot Again
16,Raiders 1
17,Lamp 17
18,Lamp 18
19,IN(D)Y
20,I(N)DY
21,Indy Jones (Launch)
22,Cairo Swordsman (Launch)
23,Light Mystery (Launch)
24,Light Super Pops (Launch)
25,Advance Scene (Launch)
26,Red Arrow (Right)
27,(I)NDY
28,(J)ONES
29,J(O)NES
30,JO(N)ES
31,JON(E)S
32,JONE(S)
33,Extra Ball
34,Green Arrow
35,Temple of Doom (Tally)
36,Temple of Doom 4
37,Temple of Doom 3
38,Temple of Doom 2
39,Temple of Doom 1
40,Lamp 40
41,(M)AP
42,M(A)P
43,MA(P)
44,Lamp 44
45,Kingdom of the Crystal Skull Ramp
46,X Marks the Spot
47,8-Ball
48,Cairo Swordsman
49,Last Crusade (Tally)
50,Last Crusade 4
51,Last Crusade 3
52,Last Crusade 2
53,Last Crusade 1
54,Super Spinner (Right)
55,Super Spinner (Left)
56,Red Arrow (Left)
57,Lamp 57
58,Lamp 58
59,Lamp 59
60,Green Pop Bumper
61,Yellow Pop Bumper
62,Blue Pop Bumper
63,Amber Pop Bumper
64,Amber Arrow
65,Temple of Doom (Scoop)
66,Kingdom of the Crystal Skull (Tally)
67,Kingdom of the Crystal Skull 4
68,Kingdom of the Crystal Skull 3
69,Kingdom of the Crystal Skull 2
70,Special (Left)
71,Yellow Arrow
72,Kingdom of the Crystal Skull 1
73,Last Crusade 'LIT'
74,Lamp 74
75,Lamp 75
76,Lamp 76
77,IND(Y)
78,Lamp 78
79,Raiders of the Lost Ark
80,Holy Grail
