01,Start Button
02,Tourn Start Button
03,Shoot Again
04,L Outlane
05,L Return Lane
06,R Return Lane
07,R Outlane
08,Extra Ball
09,C Lane Arrow
10,C Lane Monger
11,C Lane Advance Weapon
12,Drone Target 3
13,Drone Target 2
14,L Ramp Arrow
15,Left Orbit Monger
16,L Orbit Adv Weapon
17,IRO(N) MAN
18,IR(O)N MAN
19,I(R)ON MAN
20,(I)RON MAN
21,War Machine
22,L Ramp Award 4
23,L Ramp Award 3
24,L Ramp Award 2
25,L Ramp Award 1
26,R Ramp Arrow
27,Collect Shield
28,MONGE(R)
29,MONG(E)R
30,MON(G)ER
31,MO(N)GER
32,M(O)NGER
33,(M)ONGER
34,R Loop Arrow
35,R Orbit Monger
36,IRON (M)AN
37,IRON M(A)N
38,IRON MA(N)
39,R Ramp Award 4
40,R Ramp Award 3
41,R Ramp Award 2
42,R Ramp Award 1
43,Drone Target 1
44,Wizzard Mode: Iron Man
45,Wizzard Mode: War Machine
46,Wizzard Mode: Iron Monger
47,Wizzard Mode: Whiplash
48,Wizzard Mode: Drones
49,Mark 5
50,Mark 4
51,Mark 3
52,Mark 2
53,Mark 1
54,L Loop Arrow
55,Mark 6
56,Special
57,L Top Lane
58,R Top Lane
59,Drone Target 4
60,L Bumper
61,R Bumper
62,Bottom Bumper
63,R Orbit Adv Weapon
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
