11,Mode Ready
12,Download
13,Access Code 2
14,Access Code 1
15,Upload
16,L Jet Lane
17,M Jet Lane
18,R Jet Lane
21,Power Down
22,N.A.S. Cure
23,R Ramp Block 4
24,Sector 6
25,R Ramp Block 2
26,Hold Bonus
27,R Standup R Blk
28,R Standup L Blk
31,L Ramp Block 4
32,Extra Ball
33,Sector 2
34,L Ramp Block 2
35,L Ramp Block 1
36,Sector 1
37,Not Used
38,Shoot Again
41,L Loop Top Arrow
42,L Standup Arrow
43,R Ramp Block 1
44,Light Spinner
45,Big Points
46,Gigabytes
47,Light Extra Ball
48,Quick Multiball
51,Cyber Matrix 13
52,Cyber Matrix 23
53,Cyber Matrix 33
54,R Outlane
55,Bonus Held
56,Bonus 4X
57,Bonus 3X
58,Bonus 2X
61,Cyber Matrix 12
62,Cyber Matrix 22
63,Cyber Matrix 32
64,R Return Lane
65,Sector 5
66,Spinner Millions
67,Cyberlock 2
68,Inner Loop Top
71,Cyber Matrix 11
72,Cyber Matrix 21
73,Cyber Matrix 31
74,Popper Top Arrow
75,Sector 3
76,Crazy Bob's
77,Mode Start
78,Cyberlock 1
81,R Loop Top Arrow
82,Cyberlock 3
83,Sector 7
84,L Outlane
85,L Return Lane
86,Ball Launch
87,Buy-in Button
88,Start Button
