11,Bonus 1K Left
12,Bonus 1K #2
13,Bonus 1K #3
14,Bonus 1K Right
15,Bonus 5K
16,Bonus 10K BL
17,Bonus 10K BR
18,Bonus 10K TL
21,Bonus 10K TR
22,Bonus 50K
23,2X
24,3X
25,4X
26,5X
27,6X
28,7X
31,(B)ET
32,B(E)T
33,BE(T)
34,Left Outlane
35,Left Inlane
36,Right Inlane
37,Right Outlane
38,2x Score w/flashing
41,Drop BL
42,Drop BR
43,Drop TL
44,Ace
45,King
46,Queen
47,Jack
48,Ten
51,Spinner 3K
52,Draw Poker
53,Special 
54,Bell 1
55,Bell 2
56,Bell 3
57,Bell 4
58,Bell 5
61,Heart
62,Spade
63,Club
64,Diamond
65,Left Ramp
66,Right Ramp
67,Left Jet 10K
68,Right Jet 10K
71,Jackpot
72,Deal Again
73,UPF Illum Left
74,UPF Illum #2
75,UPF Illum #3
76,UPF Illum #4
77,UPF Illum #5
78,UPF Illum Right
81,0.5 Million
82,1.0 Million
83,1.5 Million
84,2.0 Million
85,2.5 Million
86,3.0 Million
87,3.5 Million
88,4.0 Million
