11,Perp 1 (White)
12,Perp 1 (Red)
13,Perp 1 (Yellow)
14,Perp 1 (Green)
15,Perp 2 (White)
16,Perp 2 (Red)
17,Perp 2 (Yellow)
18,Perp 2 (Green)
21,Perp 4 (White)
22,Perp 4 (Red)
23,Perp 4 (Yellow)
24,Perp 4 (Green)
25,Perp 5 (White)
26,Perp 5 (Red)
27,Perp 5 (Yellow)
28,Perp 5 (Green)
31,Perp 3 (White)
32,Perp 3 (Red)
33,Perp 3 (Yellow)
34,Perp 3 (Green)
35,Lock 1
36,Lock 2
37,Lock 3
38,Buy-In
41,Crime Level 4 (White)
42,Crime Level 3 (Red)
43,Crime Level 2 (Yellow)
44,Crime Level 1 (Green)
45,Meltdown
46,Impersonator
47,Battle Tank
48,Stop Meltdown
51,Stakeout
52,Safecracker
53,Pursuit
54,Ultimate Challenge
55,Manhunt
56,Blackout
57,Sniper
58,Pick a Prize
61,Extra Ball
62,Right Start Feature
63,Tank Center
64,Award Sniper
65,Air Raid
66,Left Center Feature
67,Tank Left
68,Mystery
71,(J)UDGE
72,J(U)DGE
73,JU(D)GE
74,JUD(G)E
75,JUDG(E)
76,Award Safecracker
77,Multiball Jackpot
78,Award Bad Impersonator
81,Award Stakeout
82,Blackout Jackpot
83,Drain Shield
84,Judge Again
85,Advance Crime Level
86,Tank Right
87,Super Game
88,Start Button
