11,Visitor Center X2
12,T Arch
13,Brachiasaurus Map
14,Spitter Map
15,Herrerasaurus Map
16,Map
17,Triceratop Map
18,Gallimimus
21,Credit Button
22,Mosquito X2
23,Electric Fence
24,Spitter Attack
25,2 Ball Grid
26,System Boot
27,Raptor Rampage
28,Light Extra Ball
31,Left Scoop Bottom
32,Left Scoop Top
33,Helo X2
34,Raptor Multi Million
35,Feed T-Rex
36,Bone Buster
37,Escape Isla Nubar
38,Stampede
41,Spitter #1 Bottom
42,Spitter #2
43,Spitter #3
44,Boat Dock X2
45,Jackpot Loop
46,Jackpot Map
47,Top Turbo Bumper
48,Right Turbo Bumper
51,Center Scoop Bottom
52,Center Scoop Top
53,Advance X
54,Triceratop Map
55,T-Rex Map
56,Herrerasaurus Low
57,Herrerasaurus Top
58,Brachiasaurus Low
61,C
62,H
63,A
64,O
65,S
66,Gate X2
67,R Arch
68,E Arch
71,Baryoynx Target
72,#2
73,2 Ball Play Arrow
74,Raptor Pit 5 Million
75,Raptor Pit Jackpot
76,Raptor Pit Danger
77,Outlanes Special X2
78,Shoot Again
81,Right Scoop Bottom
82,Right Scoop Top
83,Brachiasaurus Top
84,X Arch
85,Egg
86,Left Turbo Bumper
87,Extra Ball Arrow
88,Smart Bomb X2
