11,Ball-in-Play - Backglass
12,Match - Backglass
13,Blast Again - At Flippers
14,"W" Lane
15,"A" Lane
16,"R" Lane
17,Ramp Multiplier - At Flippers
18,Return to Base - Center
21,Cannon Red
22,Cannon Yellow
23,Cannon Blue
24,Ramp Green Shield
25,Ramp Orange Arrow
26,Ramp Amber Arrow
27,Ramp Clear Arrow
28,Red Target (Left)
31,Red Target (Center)
32,Red Target (Right)
33,Hot Dog Red
34,Eject Lock Red
35,Red Eject Arrow Clear
36,Red Eject Arrow Amber
37,Red Eject Arrow Orange
38,Yellow Target (Left)
41,Yellow Target (Center)
42,Yellow Target (Right)
43,Hot Dog Yellow
44,Eject Lock Yellow
45,Yellow Eject Arrow Clear
46,Yellow Eject Arrow Amber
47,Yellow Eject Arrow Orange
48,Blue Target (Left)
51,Blue Target (Center)
52,Blue Target (Right)
53,Hot Dog Blue
54,Eject Lock Blue
55,Blue Eject Arrow Clear
56,Blue Eject Arrow Amber
57,Blue Eject Arrow Orange
58,Left Outlane
61,Flipper Return Lanes (Left&Right)
62,Bonus Hold
63,2X
64,3X
65,4X
66,5X
67,Laser Kick
68,Right Outlane
71,Ion Cannon (Tip)
72,Bonus 1K Red
73,Bonus 2K Red
74,Bonus 4K Red
75,Bonus 8K Red
76,Bonus 16K Red
77,Bonus 1K Yellow
78,Bonus 2K Yellow
81,Bonus 4K Yellow
82,Bonus 8K Yellow
83,Bonus 16K Yellow
84,Bonus 1K Blue
85,Bonus 2K Blue
86,Bonus 4K Blue
87,Bonus 8K Blue
88,Bonus 16K Blue
