01,(K)EEP
02,K(E)EP
03,KE(E)P
04,KEE(P)
05,The Fellowship of the Ring
06,The Two Towers
07,The Return of the King
08,Shoot Again
09,Pippin
10,Merry
11,Sam
12,Aragorn
13,Frodo
14,Gandalf
15,Legoles
16,Gimli
17,Boromir
18,Mystery
19,Frodo Arrow
20,Destroy Ring
21,Mode Start
22,Palantir
23,Palantir Globe
24,Spot Ring
25,Pippin Arrow
26,Gift of the Elves
27,Light Extra Ball
28,Ring Multiball
29,Big Points
30,Light Special
31,Super Ring Frenzy
32,2X Scoring
33,Legoles Arrow
34,L Ramp Man Ring
35,L Ramp Dwarf Ring
36,L Ramp Elf Ring
37,Gandalf Arrow
38,C Loop Man Ring
39,C Loop Dwarf Ring
40,C Loop Elf Ring
41,Gimli Arrow
42,Extra Ball
43,Gollum Multiball
44,Special
45,Merry Arrow
46,R Orbit Man Ring
47,R Orbit Dwarf Ring
48,R Orbit Elf Ring
49,Aragorn Arrow
50,R Ramp Man Ring
51,R Ramp Dwarf Ring
52,R Ramp Elf Ring
53,Lock
54,Lanes
55,Tower
56,Flipper
57,(O)RC
58,O(R)C
59,OR(C)
60,POTD U.L.
61,POTD U.R.
62,POTD L.L.
63,POTD L.R.
64,Shooter Lane #1 (Bottom)
65,Shooter Lane #2
66,Shooter Lane #3
67,Shooter Lane #4
68,Shooter Lane #5
69,Shooter Lane #6
70,Shooter Lane #7
71,Shooter Lane #8
72,Shooter Lane #9 (Top)
73,Escape the Ringwraiths
74,Gandalf vs Saruman
75,Warg Attack
76,War of the Ents
77,Battle with Shelob
78,Destroy the Witch-King
79,Tournament Button
80,Start Button
