11,Right Bank Top
12,Right Bank Middle
13,Right Bank Bottom
14,Right Ramp Jackpot
15,Save the Damsel!
16,Dragon Death
17,Dragon Snack
18,Dragon Breath
21,Right Loop Jackpot
22,Right Joust Victory
23,Right Clash
24,Right Charge
25,Patron of the Peasants
26,Catapult Ace
27,Joust Champion
28,Castle Crusher
31,Trolls!
32,Extra Ball
33,Merlin's Magic
34,Troll Madness
35,Damsel Madness
36,Peasant Madness
37,Catapult Madness
38,Joust Madness
41,Left Loop Jackpot
42,Left Joust Victory
43,Left Clash
44,Left Charge
45,Catapult Jackpot
46,Catapult Slam
47,BAM!
48,WAM!
51,Center Arrow
52,Battle for the Kingdom
53,Master of Trolls
54,Defender of Damsels
55,Left Top Lane
56,Right Top Lane
57,Left Troll Target
58,Right Troll Target
61,Francois D'Grimm
62,King of Payne
63,Earl of Ego
64,Left Ramp Jackpot
65,Revolting Peasants
66,Ugly Riot
67,Angry Mob
68,Rabble Rouser
71,Howard Hurtz
72,Ball Save
73,Sir Psycho
74,Duke of Bourbon
75,Castle Lock 2
76,Castle Lock 1
77,Super Jackpot
78,Super Jets
81,Right Outlane
82,Right Return
83,Left Return
84,Left Outlane
85,Castle Lock 3
86,Shoot Again
87,Launch Button
88,Start Button
