01,Start Button
02,Tourn Button
03,
04,Shoot Again
05,Guitar Pick (James)
06,Guitar Pick (Lars)
07,Guitar Pick (Kirk)
08,Guitar Pick (Robert)
09,Snake EOL
10,Coffin EOL
11,Electric Chair EOL
12,Grave Marker EOL
13,(E)
14,1/4
15,1/2
16,3/4
17,(F)
18,Left Outlane
19,Left Return Lane (L)
20,Left Return Lane (R)
21,Fuel Lane #1
22,Fuel Lane #2
23,Fuel Lane #3
24,Fuel Lane Arrow
25,Right Outlane
26,Right Return Lane
27,Mystery
28,
29,Right Loop Grave Marker
30,Right Ramp Grave Marker
31,Right Ramp Snake
32,Right Loop Snake
33,Right Loop Electric Chair
34,Right Ramp Electric Chair
35,Right Ramp Standup (R)
36,Right Loop Arrow
37,Right Ramp Arrow
38,Right Ramp Standup (L)
39,
40,Grave Lane Grave Marker
41,Grave Lane Snake
42,(F)UEL
43,F(U)EL
44,FU(E)L
45,FUE(L)
46,Grave Lane Electric Chair
47,Left Loop Grave Marker
48,Left Loop Snake
49,Grave Lane Standup (L)
50,Grave Lane Arrow
51,Grave Lane Standup (R)
52,Left Ramp Grave Marker
53,Left Ramp Snake
54,Left Ramp Electric Chair
55,Left Ramp Arrow
56,Electric Chair
57,Left Loop Electric Chair
58,Left Loop Arrow
59,
60,Left Pop Bumper
61,Right Pop Bumper
62,Bottom Pop Bumper
63,Left Top Lane
64,Right Top Lane
65,Snake
66,
67,Coffin 1 (BOT)
68,Coffin 2 (MID)
69,Coffin 3 (TOP)
70,Extra Ball
71,Crank It Up
72,
73,Electric Chair #1 (L)
74,
75,Electric Chair #2 (C)
76,
77,
78,Electric Chair #3 (R)
79,
80,
