11,Mosh Pit
12,1/2 Moon(2)
13,Frank Arrow
14,Drac-Attack
15,Extra Ball
16,Monsters of Rock
17,Monster Bash
18,Mummy Mayhem
21,Ramp Arrow R
22,Rock C.D.
23,Right Return
24,Full Moon Fever(2)
25,Gargle R
26,Warm Up R
27,Primp R
28,Loop Arrow R
31,1/4 Moon(2)
32,Blue Target L
33,Tomb Treasure
34,Dracula Top
35,Top Lane R
36,Top Lane C
37,Top Lane L
38,Dracula Bot
41,Left Return
42,Left Outlane
43,3/4 Moon(2)
44,Blue Target R
45,Ramp Arrow L
46,Primp L
47,Warm Up L
48,Gargle L
51,Guitar
52,Drums
53,Bass Guitar
54,Keyboard
55,Microphone
56,Saxophone
57,Loop Arrow C3
58,Blue Target C
61,Creature
62,Bride
63,Frank
64,Mummy
65,Wolfman
66,Dracula
67,Right Outlane
68,Shoot Again
71,Frank Arm L
72,Frank Leg L
73,Frank Torso
74,Frank Head
75,Frank Leg R
76,Frank Arm R
77,Loop Arrow L
78,
81,Muck
82,Seaweed
83,Algae
84,Pond Scum
85,Loop Arrow C2
86,Loop Arrow C1
87,Launch Button
88,Start Button
