NF,No Fear,
11,Raceway Award 3, 
12,Raceway Award 2, 
13,Raceway Award 1, 
14,Left Over the Edge, 
15,Dirt, 
16,Asphalt, 
17,No Limits, 
18,Water, 
21,No Fear, 
22,Raceway Award 4, 
23,Raceway Award 5, 
24,Right Over the Edge, 
25,Air, 
26,Snow, 
27,Fear Fest, 
28,Meet Your Maker, 
31,Skull, 
32,Right Track, 
33,Center Jackpot, 
34,Extra Ball, 
35,Start Challenge, 
36,Center Lock, 
37,Right Autofire (2), 
38,Left Hurry Up, 
41,Left Track, 
42,First Place, 
43,Secibd Place, 
44,Third Place, 
45,Skydive, 
46,Drop Jackpot, 
47,Drop Lock, 
48,Left Autofire (2), 
51,Raceway, 
52,Left Turn Ramp, 
53,Super Spinner, 
54,Left Ramp Start, 
55,Left Ramp Win, 
56,Hill Climb, 
57,Screamer, 
58,Not Used, 
61,Tube, 
62,Video Mode, 
63,Right Ramp Win, 
64,Right Ramp Turn, 
65,Right Ramp Start, 
66,Left Flipper Lane, 
67,Left Outlane, 
68,Kickback, 
71,Light Kickback Top, 
72,Light Kickback Bottom, 
73,Right Flipper Lane, 
74,Right Outlane, 
75,Hairpin, 
76,Downhhill, 
77,Summit, 
78,Right Hurry Up, 
81,Shoot Again, 
82,Left Skull Eye, 
83,Jump Now, 
84,Super Jackpot, 
85,Right Skull Eye, 
86,Ball Launch, 
87,Buy-in Button, 
88,Start Button, 
