11,Outlane Extra Ball
12,Kickback
13,Lower Driving Range
14,Shoot Again
15,Special
16,Wheel Value
17,Jet Lighting
18,Hole 8
21,Hole 5
22,Hole 4
23,Hole 3
24,Hit Bud
25,Hole 1
26,2X
27,Cart Path 2
28,5X Cart Path
31,Hole 6
32,Hole 7
33,Hole 2
34,Hit Buzz
35,Hole 9
36,4X
37,Cart Path 4
38,3X
41,Driving Range
42,Increase Golf Cart
43,Increase Buzz Value
44,Increase Bud Value
45,Newton Drive
46,Collect
47,Rip Off
48,Left Loop Drive
51,(K)ICK
52,K(I)CK
53,KI(C)K
54,KIC(K)
55,Skill Shot
56,Relight Jackpot
57,Right Ramp Lock
58,Right Ramp Drive
61,4 Strokes
62,3 Strokes
63,2 Strokes
64,5 Strokes
65,7 Strokes
66,6 Strokes
67,Left Spinner
68,Trap Ready
71,Advance Trap
72,Center Drive
73,Center Lock
74,Get TNT
75,Center Raise Gofer
76,Right Spinner
77,Right Loop Drive
78,Bottom Jet Bumper
81,Side Ramp Drive
82,Extra Ball
83,Multiball
84,Jackpot
85,Putt Out
86,Top Jet Bumper
87,Middle Jet Bumper
88,Start Button
