11,Right Square 4
12,Right Square 3
13,Right Square 2
14,Right Square 1
15,Right Circle
16,Scorpion 3 (Bottom)
17,Scorpion 2 (Middle)
18,Lite Special
21,Right Mystery
22,Lock arrow
23,Lite Lazer Kick
24,Right Candle
25,Extra Ball Arrow
26,Scorpion 1 (Top)
27,100 K Square
28,Lite Extra Ball
31,Left Square 4
32,Left Candle
33,Phantom Lamp
34,Left Square 3
35,Left Square 2
36,Left Square 1
37,Bonus Hold Square
38,Shoot Again
41,Left Circle
42,5X Lamp
43,4X Lamp
44,Bonus Hold Arrow
45,3X Lamp
46,2X Lamp
47,Right Extra Ball
48,Right Return
51,Grasshopper 1 (Bottom)
52,Grasshopper 2
53,Grasshopper 3 (Top)
54,2X Lit lamp
55,Left Mystery
56,Special Lamp
57,Backglass 1
58,Backglass 2
61,Top Lane 3 (Right)
62,Top Lane 2
63,Top lane 1 (Left)
64,Left Return
65,Left Extra ball
66,Laser Kick Lamp
67,Backglass 3
68,Backglass 4
71,P 
72,H 
73,A 
74,N 
75,T
76,O 
77,M
78,Unused
81,Box Lamp
82,Million Lamp
83,T 
84,W
85,O 
86,O 
87,N 
88,E 
