CAPCOM_A
11,Coin Door 1 & 2
12,Coin Door 3 & 4
13,Start Button
14,Continue Button
15,Left Inlane (When Lit)
16,Miraculous Save
17,Genie
18,Extra Ball
21,Right Outlane (When Lit)
22,GI 1 A&B
23,GI 2 A&B
24,Right Inlane (When Lit)
25,MATRA Face A&B
26,MATRA Wand Power
27,MATRA Triple Power
28,MATRA Critics
31,CB Lite Extra Ball
32,CB Advance Trick
33,GI 3 A&B
34,GI 4 A&B
35,CB Showtime
36,CB Lite Spinner
37,CB Lite Loops
38,CB Ball
41,CABAL Blue
42,CABAL Green
43,CABAL White
44,GI 5 
45,GI 6
46,CABAL Orange
47,CABAL Yellow
48,CABAL RED
51,HANSEN 3 Lock
52,HANSEN 2 Swords
53,HANSEN 1 Float
54,HANSEN Face
55,GI 7 A&B
56,GI 8 A&B
57,NOST 3 World
58,NOST Face
61,SHAMAN 1 Sword
62,SHAMAN 2 Snake
63,SHAMAN 3 Magic
64,SHAMAN Face
65,Encore
66,GI 9 A&B
67,NOST 1 Spoon
68,NOST 2 Morph
71,JADUGAR 3 Presto
72,JADUGAR 2 Genie
73,JADUGAR 1 Carpet
74,JADUGAR Face
75,MYSTIQUE 3 Float
76,MYSTIQUE Face
77,GI 10 A&B
78,GI 11 A&B
81,KENZO 1 Ring
82,KENZO 2 Elephant
83,KENZO 3 Magic 8
84,KENZO Face
85,MYSTIQUE 1 Trunk
86,MYSTIQUE 2 Sleeve
87,Reappearing Ball
88,GI 12 A&B
