CAPCOM_B
11,Back Box 1 A&B
12,Back Box 2 A&B
13,Back Box 1
14,Back Box 2
15,Back Box 3
16,Back Box 4
17,Back Box 5
18,Back Box 6
21,Back Box 7
22,Back Box 3 A&B
23,Back Box 8
24,Drop M
25,Drop A
26,Drop G
27,Drop I
28,Drop C
31,Magic Mayhem
32,Vanishing Act
33,Back Box 4 A&B
34,Back Box 9
35,Build Jackpot
36,Loop 2
37,Critic Top
38,Critic Bottom
41,Magic Carpet Ride
42,Jackpot
43,Silence Critics
44,Back Box 10
45,Back Box 11
46,Standup Top
47,Standup Center
48,Standup Bottom
51,Ramp Lock 2
52,Trunk Escape
53,Ramp Lock 1
54,Sword Trick
55,Back Box 12
56,Back Box 13
57,Super Spinner
58,Loop 1
61,GI 13
62,GI 14
63,GI 15
64,Unused
65,Showtime
66,Back Box 14
67,Back Box 15
68,Bend The Spoon
71,Sign 1 Million
72,Sign 3 Million
73,Sign 10 Million
74,Sign 4 Million
75,Sign 2 Million
76,Wand Ring
77,Back Box 16
78,Back Box 17
81,Presto Chango
82,Back Box 18
83,Back Box 19
84,Back Box 20
85,Back Box 21
86,Back Box 22
87,Back Box 23
88,Back Box 24
