11,(P)LAYBOY
12,Miss July 50K
13,Photo Shoot 1
14,Up Left/Right Release Ball
15,Up Right Mansion Party
16,(P)INBALL
17,P(I)NBALL
18,(M)ANSION
21,P(L)AYBOY
22,Miss August 100K
23,Photo Shoot 2
24,Lock ball #1
25,Bonus Hold
26,Right Score Playboy Value
27,Left Score Playboy Value
28,M(A)NSION
31,PL(A)YBOY
32,Miss September Light Outlanes
33,Photo Shoot 3
34,Lock ball arrow
35,Play Again
36,Right Peacock
37,Left Peacock
38,MA(N)SION
41,PLA(Y)BOY
42,Miss October Bonus Hold
43,Photo Shoot 4
44,Left Green Arrow Target
45,2X
46,Drop Target 100K
47,Lower Left Bunny Hop
48,MAN(S)ION
51,PLAY(B)OY
52,Miss November Extra Ball
53,Photo Shoot 5
54,Centre Green Arrow Target
55,3X
56,Drop Target 75K
57,PI(N)BALL
58,MANS(I)ON
61,PLAYB(O)Y
62,Miss December 1 Million Points
63,Photo Shoot Special
64,Right Green Arrow Target
65,4X
66,Drop Target 50K
67,PIN(B)ALL
68,MANSI(O)N
71,PLAYBO(Y)
72,Top Left Bunny Hop
73,Spinner Extra Ball
74,Multiply All Scores
75,5X
76,Drop Target 25K
77,PINB(A)LL
78,MANSIO(N)
81,Left 'H' Lane
82,Centre 'M' Lane
83,Right 'H' Lane
84,Lock ball #2
85,Upper Left Mansion Party
86,Upper Right Bunny Hop
87,PINBA(L)L
88,PINBAL(L)
