11,OYL Left Lane
12,OYL Center Lane
13,OYL right lane
14,Fight Bluto
15,Right Popper Can
16,Right Loop Arrow
17,Right Loop Can
18,HAG Standup
21,Island Rhino
22,Island Leopard
23,Island Eagle
24,Island Dolphin
25,Item Popeye
26,Item Sweepie
27,Item Ketchup
28,Island Panda
31,Lockjaw
32,Never Green Co.
33,Earth Paving Co.
34,Escalator Enter
35,Popeye E1
36,Popeye Y
37,Popeye E2
38,Item Olive
41,Spillco Oil Co.
42,Blutonium Waste Co.
43,Left Outlane
44,Left Flipper Lane
45,Right Flipper Lane
46,Special
47,Shoot Again
48,Save Olive
51,Left Loop Arrow
52,Left Loop Can
53,Popeye P1
54,Popeye O
55,Popeye P2
56,Left Ramp Arrow
57,Collect Item
58,Left Ramp Can
61,SEA Standup
62,Animal Dophin
63,Left Popper Arrow
64,Instant Multiball
65,Left Cheek
66,Right Cheek
67,Animal Panda
68,Animal Leopard
71,Backbox Tail
72,Backbox Star
73,Animal Rhino
74,Backbox Right
75,Animal Eagle
76,Upper Ramp Left
77,Upper Ramp Center
78,Upper Ramp Right
81,Upper Extraball
82,Upper Whimpy 2x
83,Two Bank Upper
84,Two Bank Lower
85,Animal Jackpot
86,Buy-in
87,Launch Button
88,Start Button
