01,Super Jackpot 2 MIL
02,Super Jackpot 3 MIL
03,Super Jackpot 1 MIL
04,Super Jackpot 4 MIL
05,Shoot Again
06,Super Jackpot 5 MIL
07,Super Jackpot 7 MIL
08,Right Special
09,Left Special
10,1 Idol Counter
11,2 Idol Counter
12,3 Idol Counter
13,4 Idol Counter
14,5 Idol Counter
15,Tombstone 1
16,Scoop Arrow
17,( R ) IPLEYS
18,R ( I ) PLEYS
19,RI ( P ) LEYS
20,RIP ( L ) EYS
21,RIPL ( E ) YS
22,RIPLE ( Y ) S
23,RIPLEY ( S )
24,Grid A1 (Upper Left)
25,Grid B1
26,Grid C1
27,Grid A2
28,Grid B2
29,Grid C2
30,Grid A3
31,Grid B3
32,Grid C3
33,Lower Left Pop
34,Lower Right Pop
35,Lower Bot Pop
36,Skill Shot
37,Tombstone 2
38,Tombstone 3
39,Million Plus
40,Loop Jackpot
41,Vari-Target Special
42,Vari-Target EB
43,Vari-Target (?) Mystery
44,Vari-Target S.A.
45,Vari-Target N.A.
46,Vari-Target Europe
47,Vari-Target Austr.
48,Vari-Target Asia
49,Tombstone 5
50,Penguin
51,Advance Tombstone
52,Right Spinner
53,Right Jackpot
54,Lock
55,RIPOFF
56,Vari-Target Antar.
57,Center Jackpot
58,Lite Head
59,Gate Open
60,Upper Left Pop
61,Upper Right Pop
62,Upper Bot Pop
63,Tombstone 4
64,Vari-Target Africa
65,Left Spinner
66,Multiball
67,Light Locks
68,Big Foot Bonus
69,Super Jackpot
70,Odditorium
71,The Head Knows
72,BOZO
73,Bonus X Inlane Left
74,Bonus X Inlane Ctr
75,Bonus X Inlane Right
76,Back Panel A
77,Back Panel B
78,Back Panel C
79,Tournament Button
80,Start Button
