11,Green Target 4
12,Green Target 3
13,Green Target 2
14,Green Target 1
15,Green Sight 4
16,Green Sight 3
17,Green Sight 2
18,Green Sight 1
21,Yellow Target 1
22,Yellow Target 2
23,Yellow Target 3
24,Yellow Sight 3
25,Yellow Sight 2
26,Yellow Sight 1
27,ROBOCOP Mask
28,Right Outlane
31,Eject robocOp
32,Eject robocoP
33,Trapball Top
34,Relite Laser Kick
35,Right Extra Ball
36,Red Trap Ball
37,Red Sight
38,Right Return
41,Eject Robocop
42,Eject rObocop
43,Eject roBocop
44,Eject robOcop
45,Eject roboCop
46,Spinner Green
47,Spinner Yellow
48,Spinner Red
51,Bottom Special
52,2x Multi
53,3x Multi
54,Bonus Hold
55,4x Multi
56,5x Multi
57,Bottom Target Practice
58,Extra Ball
61,Back Red
62,Back Yellow
63,Back Green
64,Left Return
65,Laser Kick Outlane
66,Left Outlane
67,ROBOCOP Green
68,ROBOCOP Orange
71,2 Lane
72,0 Lane
73,9 Lane
74,Ball Guide 1
75,Ball Guide 2
76,Ball Guide 3
77,Ball Guide 4
78,NOT USED
81,Arrest Emil
82,Arrest Bodd
83,Arrest Jones
84,ED 209 1 meg
85,Ramp Special
86,Ramp Jackpot
87,ED 209 Left
88,ED 209 Right
