11,Stiff Level 7
12,Stiff Level 6
13,Stiff Level 5
14,Stiff Level 4
15,Stiff Level 3
16,Stiff Level 2
17,Stiff Level 1
18,Ramp Left Eye
21,Stiff Level 8
22,Stiff Level 9
23,Scared Stiff
24,Center Leaper
25,Three Bank Lower
26,Three Bank Middle
27,Three Bank Upper
28,Spider Popper
31,Crate Left Eye
32,Crate Center Left
33,Crate Center Right
34,Crate Right Eye
35,Left Outlane
36,Right Leaper
37,Right Ramp Jackpot
38,Light Spin Spider
41,Left Leaper
42,Left Ramp Jackpot
43,Light Lock
44,Ramp Right Eye
45,Right Outlane
46,Skill Shot
47,Crate Jackpot
48,Extra Ball
51,Bony Beast Item
52,Coffin Multiball Item
53,Leaper Item
54,Coffin Spotlight
55,Shoot Again
56,Lock Lamp
57,Left Loop Dead Head
58,Left Loop Monster's Lab
61,Monster's Lab Item
62,Crate Item
63,Dead Heads Item
64,Web 2 - Light Jackpot
65,Web 3 - Double Trouble
66,Web 4 - Right Eye
67,Web 5 - Scared Stiff
68,Web 6 - Coffin
71,Web 7 - R Crystal Ball
72,Web 8 - Lab
73,Web 9 - L Crystal Ball
74,Web 10 - Boogie Man
75,Web 11 - Crate
76,Web 12 - Left Eye
77,Web 13 - Leaper
78,Web 14 - Bony Beast
81,Web 15 - L Dead Head
82,Web 16 - Top Eye
83,Web 1 - R Dead Head
84,Left Dead Head Lane
85,Center Dead Head Lane
86,Right Dead Head Lane
87,Buy-In
88,Start Button
