1,Start Button
2,Tournament Button
3,Shrek
4,Fiona
5,Puss in boots
6,Gingy
7,Prince Charming
8,Donkey
9,(P)INBALL
10,P(I)NBALL
11,PI(N)BALL
12,PIN(B)ALL
13,PINB(A)LL
14,PINBA(L)L
15,PINBAL(L)
16,Left Outlane (Not Special)
17,Left Return (2X Gingy)
18,Raise Pinocchio (Left Inner)
19,Bridge To Fiona
20,Dinner Theater
21,Wresting Match
22,Potion Problems
23,Ogre's Are Onions
24,(1) By Right Sling
25,(2) By Right Sling
26,(3) By Right Sling
27,Right Return (2X Fiona)
28,Right Outlane (Special)
29,Swamp (Scoop)
30,Pinball (Scoop)
31,Multiball (Scoop)
32,Fiona Jackpot
33,Godmother (Stand-up)
34,Right Newton Jackpot
35,BAB(Y)
36,BA(B)Y
37,B(A)BY
38,(B)ABY
39,Left Orbit Puss in Boots
40,Left Orbit Jackpot
41,Pinocchio Lies (1-Bnk Drop)
42,Skill Shot
43,200K
44,300K
45,400K
46,500K
47,Repay Your Debt
48,Rally The Villian
49,3 Little Pigs
50,Un-Happy Hour
51,Once Upon A Time
52,Dragon Multiball
53,Extra Ball
54,Left Newton Jackpot
55,Guard Jackpot
56,3-Bank Top
57,3-Bank Mid
58,3-Bank Bottom
59,
60,
61,Top and Bottom Bumper
62,Merlin
63,Donkey
64,Shoot Again
65,Right Orbit Gingy
66,Right Orbit Jackpot
67,Spinner Gingy
68,Mini Shoot Again
69,Ball Saver Post
70,Donky Spot Light
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
