1,Left Out Extra Ball
2,Left Return Extra Ball
3,Shoot Again
4,Right Return Extra Ball
5,Special
6,Shooter Lane Skill Shot
7,Light Otto
8,Advance Pops
9,Spay Anything
10,Kitty Kitty Bang Bang
11,Field of Screams
12,Esophagus Now
13,I and S Arrow
14,Start I and S Multiball
15,I and S 2x Scoring
16,Pops Scoring
17,Left Pop Bumper
18,Right Pop Bumper
19,Bottom Pop Bumper
20,More Time
21,Collect Nucleur Plant
22,Left Orbit Arrow
23,Cletus 2x Scoring
24,Left Orbit Hurry Up
25,CBG Skill Shot
26,CBG Start Hurry Up
27,Daredevil Ramps
28,Daredevil Bumpers
29,Daredevil Loops
30,Daredevil Targets
31,Start Button
32,Not Used Tournament
33,Left Ramp Arrow
34,Treehouse of Horror
35,Treehouse 2x Scoring
36,Left Ramp Hurry Up
37,Right Ramp Arrow
38,Get Duffed
39,Moes 2x Scoring
40,Right Ramp Hurry Up
41,Mini Loop Arrow
42,2x Scoring Kwik E Mart
43,Kwik E Mary Hurry Up
44,Garage Arrow
45,Clean the Garage
46,Garage 2x Scoring
47,Garage Hurry Up
48,Right Orbit Arrow
49,Right Loop Arrow
50,Ottos Bus Tours
51,Elementary 2x Scoring
52,Bully 3 Bank Top
53,Bully 3 Bank Mid
54,Bully3 Bank Bot
55,Krusty 2x Scoring
56,Right Orbit Hurry Up
57,Homer
58,Marge
59,Bart
60,Lisa
61,Maggie
62,Grandpa
63,Left Headlight
64,Right Headlight
65,Living Room 2x Scoring
66,Light Lock
67,Light Lock
68,Lock
69,Super Jackpot
70,TV Arrow
71,Not Used 
72,Not used
73,Duffman TV
74,Homers Day TV
75,Willies Woes TV
76,Wiggum VS Snake TV
77,Barts Day TV
78,Krusty's Last Stand TV
79,Stop The Monorail TV
80,Alien Invasion TV
