1,Associate
2,Soldier
3,Good Earner
4,Acting Capo
5,Capo
6,Consigliere
7,Under Boss
8,Boss
9,Boss: Food
10,Boss: Truck Heist
11,Boss: Bada Bing
12,Boss: Episodes
13,Boss: Safe
14,Boss: RIP
15,Boss: Super Jackpot
16,Boss: Meadowlands
17,(F)ISH
18,F(I)SH
19,FI(S)H
20,FIS(H)
21,Pork Store Standup
22,Light Standup
23,Fish
24,The Stugots
25,Left Truck Heist 1
26,Left Truck Heist 2
27,Left Truck Heist 3
28,Left Orbit Food
29,Left Orbit Envelope
30,Left Orbit Arrow
31,Bada Bing 1
32,Bada Bing 2
33,Bada Bing 3
34,Left Ramp Food
35,Left Ramp Envelope
36,Left Ramp Arrow
37,Start Episode
38,Pork Store
39,Special
40,Extra Ball
41,Advance Rank
42,Center Arrow
43,Light Lock
44,Lock 1
45,Lock 2
46,Jackpot
47,Meadowlands 1
48,Meadowlands 2
49,Meadowlands 3
50,Right Ramp Food
51,Right Ramp Envelope
52,Right Ramp Arrow
53,Right Truck Heist 1
54,Right Truck Heist 2
55,Right Truck Heist 3
56,Right Orbit Food
57,Right Orbit Envelope
58,Right Orbit Arrow
59,(R)IP
60,R(I)P
61,RI(P)
62,
63,
64,
65,RIP 1
66,RIP 2
67,RIP 3
68,RIP 4
69,RIP 5
70,RIP 6
71,RIP 7
72,RIP 8
73,Arson
74,Exterminate
75,Horse Race
76,Exec Game
77,Satisfaction
78,Shoot Again
79,Tournament Button
80,Start Button
