11,Magic Scores 50k
12,Magic Scores 100k
13,Magic Scores 150k
14,Magic Scores 200k
15,Magic Scores 250k
16,Top Loop 100k
17,Top Loop 500k
18,Not Used
21,Left Outlane Advance
22,Left Outlane Collect
23,Right Outlane Advanced
24,Right Outlane Collect
25,Bonus 1x
26,Bonus 2x
27,Bonus 4x
28,Special
31,Drop Bank Red
32,Drop Bank Yellow
33,Drop Bank Blue
34,Drop Bank Orange
35,Drop Bank Red 2
36,Avenge Again
37,Left Loop Left
38,Left Loop Right
41,Not Used
42,A
43,V
44,E
45,N
46,G
47,E
48,R
51,Avenger Scores 50k
52,Avenger Scores 150k
53,Avenger Scores 250k
54,Extra Ball
55,Right Ramp
56,Playfield Multi 3x
57,Playfield Multi 2x
58,Lionman Bonus
61,Top Loop 20k
62,Top Loop 30k
63,Top Loop 1k
64,Top Loop 1.5k
65,Top Loop 2k
66,Ball Deflect Top
67,Ball Deflect Middle
68,Ball Deflect Bottom
71,Left Outlane Kicker
72,Release Titans
73,Top Loop 40k
74,Top Loop 50k
75,Top Loop Left Advance
76,Top Loop Right Advance
77,Top Loop Left Collect
78,Top Loop Right Collect
81,"500,000"
82,"1,000,000"
83,"1,500,000"
84,"2,000,000"
85,"2,500,000"
86,"3,000,000"
87,"3,500,000"
88,"4,000,000"
