STTNG,Star Trek - The Next Generation
11,L Bank Top
12,L Bank Middle
13,Ship Mode 1
14,Ship Mode 2
15,L Bank Bottom
16,Final Frontier
17,Shoot Again
18,Ship Mode 7
21,Ship Mode 3
22,Ship Mode 4
23,Ship Mode 5
24,R Bank Top
25,R Bank Mid
26,Cmd Decision
27,Ship Mode 6
28,R Bank Bottom
31,Top Lane L
32,Top Lane C
33,Top Lane R
34,Bonus 2X
35,Bonus 4X
36,Multipliers Held
37,Bonus 8X
38,Bonus 10X
41,Q
42,Generic 1
43,R Lock
44,Holodeck
45,R 2X Shuttle
46,Generic 4
47,R Millions
48,L 2X Shuttle
51,L Return Lane
52,L Launcher
53,Advance in Rank
54,Generic 6
55,Transporter
56,Jackpot
57,Extra Ball
58,Start Mission
61,Generic 3
62,Increase Warp
63,Spinner
64,Generic 7
65,L Millions
66,Jackpot X
67,Rift
68,Time
71,Generic 2
72,Top 3-bank L
73,Top 3-bank C
74,Top 3-bank R
75,L Lock
76,Generic 5
77,Worm Hole
78,Borg Ship
81,R Return Lane
82,R Launcher
83,Millions Jets
84,Kickback
85,Borg Lock
86,Borg Jackpot
87,Buy-in
88,Start Button
