11,Thunder Storm
12,Skull Crackin
13,Door Prize Select
14,Frightmare
15,Psycho Pops
16,Robbing the Crypt
17,Extra Ball
18,Super Guillotine Targets
21,Werewolf Countdown
22,Video Mode
23,Electric Chair
24,Keeper Targets
25,Scoop
26,Buy-In Type
27,Launch
28,Start Button
31,Left/Right Outlane
32,Extra Ball
33,Skull Crush
34,(K)EEPER
35,K(E)EPER
36,KE(E)PER
37,Collect Creature Feature
38,Monster Jackpot
41,Multiball
42,Right/Left Return
43,Clone
44,KEEPE(R)
45,KEEP(E)R
46,KEE(P)ER
47,Werewolf Countdown
48,Increase Jackpot
51,Lite Creature Feature
52,Frightmare
53,Increase Double Jackpot
54,Lite Creature Feature
55,Rats
56,Goblins
57,Ghosts
58,Bats
61,Left Drop Target
62,Middle Drop Target
63,Right Drop Target
64,CRYP(T)
65,CRY(P)T
66,CR(Y)PT
67,C(R)YPT
68,(C)RYPT
71,Mysery Door 1
72,Mysery Door 2
73,Mysery Door 3
74,Double Jackpot
75,Living Dead
76,Gravedigger
77,Chainsaw Mode
78,Play the Organ
81,Left Turbo
82,Bottom Turbo
83,Right Turbo
84,Jackpot
85,Multiball
86,Left Ramp Enter
87,Right Ramp Enter
88,Axe-tra Ball
