TOTAN,Tales of the Arabian Nights
11,Jewel 1(L)
12,Jewel 2
13,Jewel 3
14,Jewel 4
15,Jewel 5
16,Jewel 6
17,Jewel 7(R)
18,Shoot Again
21,Jackpot
22,(G)ENIE 
23,G(E)NIE 
24,GE(N)IE 
25,GEN(I)E 
26,GENI(E) 
27,Multiball 
28,Special
31,Magic Carpet 
32,Action 3
33,Ramp Arrow R
34,Ramp Arrow L
35,Smoke 1(B)
36,Smoke 2
37,Smoke 3
38,Amulet 
41,Smoke 6
42,Smoke 7
43,Smoke 8
44,Smoke 9
45,Smoke 10
46,Smoke 11
47,Smoke 12
48,Smoke 13
51,Smoke 14(T)
52,Lamp-15 
53,Lamp-30 
54,Lamp-60 
55,Smoke 4
56,Smoke 5
57,Shoot Star R
58,Shoot Star L
61,Make a Wish 
62,(B)AZAAR 
63,B(A)ZAAR 
64,BA(Z)AAR 
65,BAZ(A)AR 
66,BAZA(A)R 
67,BAZAA(R) 
68,Center Lock 
71,Action 2
72,Left Lock
73,Harem Adv
74,Tiger Loop L
75,Action 1
76,Wish 1
77,Wish 2
78,Wish 3
81,Extra Ball
82,Action 5
83,Right Lock
84,Tiger Loop R
85,Captive Ball R
86,Action 4
87,Captive Ball L
88,Start Button
