11,Thing Multiball
12,Extra Ball
13,Jackpot
14,GR(A)VE
15,Stars
16,Super Jackpot
17,GRA(V)E
18,Upper Swamp Million
21,Upper Left Jet
22,Upper Right Jet
23,Center Left Jet
24,Center Right Jet
25,Lower Jet
26,Cousin It
27,2 Bear Kicks
28,Thing Flips
31,(G)REED
32,G(R)EED
33,GR(E)ED
34,GRE(E)D
35,GREE(D)
36,5x Graveyard
37,Center Swamp Million
38,Lower Swamp Million
41,
42,Advance X
43,(G)RAVE
44,G(R)AVE
45,The Mamushka
46,Swamp Lock
47,Electric Chair Red
48,GRAV(E)
51,Thing
52,Raise the Dead
53,Lite Extra Ball
54,House 6 Million
55,Quick Multiball
56,Fester's Tunnel Hunt
57,House Seance
58,Hit Cousin It
61,Left Special
62,Lite Thing Flips 1
63,Lite 2 Bear Kicks
64,Electric Chair Yellow
65,House ?
66,House 9 Million
67,Graveyard at Max
68,House 3 Million
71,Lite Advance X
72,Right Special
73,Shoot Again
74,Vault Green
75,Vault Red
76,
77,Thing Yellow
78,Thing Green
81,(*)THING*
82,*(T)HING*
83,*T(H)ING*
84,*TH(I)NG*
85,*THI(N)G*
86,*THIN(G)*
87,*THING(*)
88,Start Button
