TOM,Theatre of Magic
11,(T)HEATRE
12,T(H)EATRE
13,TH(E)ATRE
14,THE(A)TRE
15,THEA(T)RE
16,THEAT(R)E
17,THEATR(E)
18,(M)AGIC
21,Haunt Basement
22,Metamorph Awd
23,R Spell Magic
24,Spirit Ring
25,Advance Clock
26,Jacket Award (2)
27,M(A)GIC
28,Trunk Hit 3
31,MA(G)IC
32,MAGI(C)
33,Lift Trapdoor
34,C Spell Magic
35,Levitate Award
36,MAG(I)C
37,Top Rollover 1
38,Top Rollover 2
41,Extra Ball
42,Vanish
43,Spell Theatre
44,Jackpot
45,Safe Award (2)
46,Tiger Saw Award
47,Start Finale
48,Trunk Hit 1
51,Trunk Hit 2
52,Hurry Up
53,Trunk Escape
54,Lock Ball (2)
55,Hat Trick Award
56,Start Illusion
57,Start Multi-Ball
58,Lite Vanish
61,Tiger Saw
62,Levitate Woman
63,Grand Finale (2)
64,Trunk Escape
65,Spirit Cards
66,Safe Escape
67,Metamorphosis
68,Strait Jacket
71,Hat Magic
72,Spirit Award
73,Theatre
74,Multiball
75,Midnight
76,Illusions
77,Saw Multiball
78,Hocus Pocus
81,Special (2)
82,Not Used
83,Not Used
84,Not Used
85,Lamp in Cube
86,Shoot Again
87,Buy-In
88,Start Button
