1,Start Button
2,Tourn Start Button
3,Roll Out
4,Devastator C
5,Blackout C
6,Shockwave C
7,Starscream C
8,Outlane L
9,Return Lane L
10,Return Lane R
11,Outlane R
12,Allspark (X)
13,Allspark (Purple)
14,Allspark (Red)
15,Allspark (Orange)
16,Left Orbit (X)
17,Left Orbit (Purple)
18,Left Orbit (Red)
19,Left Orbit (Orange)
20,Mudflap R
21,Skids R
22,Optimus Prime C
23,Bumblebee C
24,Ironhide C
25,Mudflap & Skids C
26,Ratchet C
27,Megatron C
28,Sentinel Prime C
29,Challenge Megatron C
30,Bumblebee (Captive Ball)
31,Right Ramp (X)
32,Right Ramp (Purple)
33,Right Ramp (Red)
34,Right Ramp (Orange)
35,Energon R
36,Right Orbit (X)
37,Right Orbit (Purple)
38,Right Orbit (Red)
39,Right Orbit (Orange)
40,Center Lane (Orange)
41,Center Lane (Red)
42,Center Lane (Purple)
43,Center Lane (X)
44,Left Ramp (Orange)
45,Left Ramp (Red)
46,Left Ramp (Purple)
47,Left Ramp (X)
48,Energon L
49,Top Lane (Red) Bot
50,Top Lane (Purple) Bot
51,Top Lane (Purple) Top
52,Top Lane (Red) Top
53,Special
54,Energon C
55,Extra Ball
56,
57,Megatron Toy (Red)
58,Megatron Toy (White)
59,Optimus Prime Challenge C
60,Bumper Top
61,Bumper R
62,Bumper Bot
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
