01,Start Button
02,Tourn Start Button
03,Shoot Again
04,Flynn C
05,Gem C
06,Clu C
07,Zuse C
08,Outlane L
09,(C)LU
10,ZUS(E)
11,C(L)U
12,CL(U)
13,Outlane R
14,TRO(N)
15,TR(O)N
16,T(R)ON
17,(T)RON
18,TRON Double Scoring
19,Bumpers
20,Spinners
21,Portal C
22,TRON C
23,Recognizer C
24,Light Cycle C
25,Disc C
26,Quorra C
27,Clu Eject
28,Portal Eject
29,Quorra Eject
30,Light Cycle Eject
31,Extra Ball Eject
32,Orbit (Clu) R
33,ZU(S)E
34,Orbit (Light Cycle) R
35,Flynn's Arcade
36,
37,Loop Arrow R
38,Orbit (Disc) R
39,Ramp (Light Cycle) R
40,Orbit (Clu) L
41,(Z)USE
42,Ramp (Light Cycle) L
43,Z(U)SE
44,Recognizer 3-Bank
45,Inner Loop (Clu) L
46,
47,
48,Advance Quorra
49,Inner Loop (Light Cycle) R
50,Ramp (Disc) R
51,Inner Loop (Disc) R
52,Ramp Arrow R
53,Inner Loop Arrow R
54,
55,Inner Loop Disc L
56,Inner Loop Arrow L
57,Ramp Arrow L
58,Ramp (Disc) L
59,Orbit (Light Cycle) L
60,Bumper L
61,Bumper R
62,Bumper Bot
63,Inner Loop (Light Cycle) L
64,Loop Arrow L
65,
66,Orbit (Disc) L
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
