TZ,Twilight
11,Camera DP
12,Hitch-Hicker DP
13,Clock Chaos DP
14,Super Skill DP
15,Fast Lock DP
16,Lite Gumball DP
17,Town Sq Mad DP
18,Lite Ex Ball DP
21,DP Lock 2
22,Greed DP
23,10 Million DP
24,Battle Power DP
25,The Spiral DP
26,Clock Million DP
27,Super Slot DP
28,DP 'Ball'
31,L Extra Ball
32,DP Lock 1
33,Left Inlane 1
34,Door Handle
35,Left Inlane 2
36,DP 'Gum'
37,Lower Left 5M
38,Dead End
41,Spiral 2M
42,Spiral Bat Power 1
43,Spiral 4M
44,Spiral Bat Power 2
45,Spiral '10 Million'
46,Spiral 'Extra Ball'
47,Shoot Again
48,Right Inlane
51,L Ramp Bonus X
52,L Ramp Multiball
53,L Ramp Sup Skill
54,Left Powerball
55,The Camera
56,R Ramp Power
57,Lock Ex Ball
58,Lock Arrow
61,Left Jet Bumper
62,Lower Jet Bumper
63,Right Jet Bumper
64,Middle Left 5M
65,Upper Left 5M
66,Right Special
67,Right Powerball
68,Right Lane Spiral
71,Lower Right 5M
72,Middle Right 5M 2
73,Middle Right 5M 1
74,Power Payoff
75,Upper Right 5M
76,Mini-PF 500k
77,Mini-PF 1M
78,Mini-PF 750k
81,Left Spiral
82,Clock Millions
83,Piano Yellow
84,Piano Red
85,Slot Machine
86,R Lane Gumball
87,Buy-In Button
88,Credit Button
