11,Rumble Left
12,Lite Extra Ball
13,No Holds Brawl
14,Pandemonium
15,Rumble Middle
16,Search for Doink
17,Super Pops Sleeper Hold
18,Raise the Undertaker
21,Rumble Right
22,Tag Team Millions
23,Champ Belt Rnd
24,Banzai
25,Enter the Ramp
26,Mode Start Left
27,TAG Button
28,Credit Button
31,In the Ring Arrow
32,Left Return
33,Top Left (G)
34,Mid Left (A)
35,Bot Left (T)
36,Top Right (T)
37,Mid Right (A)
38,Bot Right (G)
41,Extra Ball
42,Right Return
43,Buy-A-Ball
44,LT and RT Outlanes
45,Collect Tag
46,Left Top Lane
47,Middle Top Lane
48,Right Top Lane
51,Left Ramp Yokozuna
52,Left Ramp Doink
53,Left Ramp Tantanka
54,Left Jackpot
55,Mid Ramp Bret Hart
56,Mid Ramp Hacksaw
57,Mid Ramp Lex Luger
58,Middle Jackpot
61,Rt Ramp Crush
62,Rt Ramp Big Boss Man
63,Rt Ramp Shawn Michaels
64,Right Jackpot
65,Banzai
66,Mode Start Mid
67,Mid Ramp Qualify
68,Rt Orbit Qualify
71,Upper PF Left DT
72,Upper PF Mid DT
73,Upper PF Right DT
74,Upper DT Ready
75,Left Over Eject
76,Right Over Eject
77,Increase Jackpot
78,Upper PF Exit
81,Left DT Top
82,Left DT Bottom
83,Macho Madness
84,Multi-Ball Start
85,Left Turbo Bumper
86,Bot Turbo Bumper
87,Right Turbo Bumper
88,Wrestle Again
