01,Start Button
02,Tourn Start Button
03,2X Playfield Values
04,Shoot Again
05,4 Walkers Killed
06,3 Walkers Killed
07,2 Walkers Killed
08,1 Walker Killed
09,40 Walkers Killed
10,Killing Spree
11,5 Walkers Killed
12,10 Walkers Killed
13,20 Walkers Killed
14,30 Walkers Killed
15,Hammer Multi-Kill
16,Katana Multi-Kill
17,Crossbow Multi-Kill
18,Pistol Multi-Kill
19,Knife Multi-Kill
20,Chair Multi-Kill
21,Horde
22,Left Outlane
23,Left Return Lane
24,Rt Loop Arrow
25,Blood Bath
26,First Aid
27,Weapons
28,Food
29,Lt Ramp Walker Kill
30,Lt Loop Walker Kill
31,Lt Loop Multi-Kill
32,Barn Mode
33,Lt Loop Arrow
34,Lt Ramp Multi-Kill
35,CDC Mode
36,Lt Ramp Arrow
37,Right Outlane
38,Rt Return Lane
39,Extra Ball
40,Welcome to Woodbury
41,Rt Ramp Arrow
42,Rt Ramp Walker Kill
43,Rt Ramp Multi-Kill
44,Arena Mode
45,Well Walker Kill
46,(W)ELL
47,W(E)LL
48,WE(L)L
49,WEL(L)
50,Well Walker
51,Rt Loop Walker Kill
52,Rt Loop Multi-Kill
53,Tunnel Mode
54,Siege
55,Rt Prison Standup
56,Lt Prison Standup
57,Center Lane Arrow
58,Riot Mode
59,Center Lane Multi-Kill
60,Top Pop Bumper
61,Right Pop Bumper
62,Left Pop Bumper
63,Center Lane Walker Kill
64,(P)RISON
65,P(R)ISON
66,PR(I)SON
67,PRI(S)ON
68,PRIS(O)N
69,PRISO(N)
70,Crossbow
71,Fish Tank
72,Tower
73,
74,
75,
76,Left Top Lane
77,Right Top Lane
78,Bicycle Girl
79,Star Rollover (BOT)
80,Start Rollover (TOP)
