11,Shoot Again
12,Kickback
13,Left Outlane
14,Left Flipper Lane
15,Right Flipper Lane
16,Right Outlane
17,Lights Whirlpool
18,6X Multiplier
21,(R)IVER
22,R(I)VER
23,RI(V)ER
24,RIV(E)R
25,RIVE(R)
26,Hazzard 3
27,Lock 1
28,Lock 2
31,Raft 7
32,Raft 8
33,Wet Willie
34,Ramps Millions
35,Hazzard 4
36,Left Light Lock
37,2X Multiplier
38,3X Multiplier
41,3-bank Center
42,3-bank Lower
43,Lock Release
44,3-bank Top
45,Hazzard 4
46,Right Light Lock
47,4X Multiplier
48,5X Multiplier
51,Hazzard 1
52,Hazzard 5
53,Hazzard 6
54,Hazzard 7
55,Whirlpool Lit
56,Extra Ball
57,Whirl Challenge
58,Boulder Man Over
61,Raft 1
62,Raft 2
63,Raft 3
64,Raft 4
65,Raft 5
66,Raft 6
67,2-bank Upper
68,2-bank Lower
71,Whirlpool 1
72,Whirlpool 2
73,Whirlpool 3
74,Whirlpool 4
75,Whirlpool 5
76,Whirlpool 6
77,Multi Jackpot
78,Bigfoot Jackpot
81,Light Extra Ball
82,Advance Raft
83,Mystery
84,Boulder 5X Award
85,
86,
87,
88,Start Button
