11,Chicago "P"
12,Dallas "U"
13,Boston "C"
14,New York "D"
15,Orlando "L"
16,Washington DC "R"
17,San Francisco "O"
18,Detroit "W"
21,1 Goal
22,2 Goals
23,3 Goals
24,4 Goals - Light TV
25,Speed (Ball)
26,Strength (Ball)
27,Stamina (Ball)
28,Left Ticket Half
31,Free Kick
32,TV Award
33,Ultra Goalie
34,Ultra Ramps
35,Spirit (Ball)
36,Skill (Ball)
37,Right Ticket Half
38,Tackle
41,Kickback Lower
42,Kickback Center
43,Kickback Upper
44,Right Ramp Build Lock
45,Right Ramp Lock
46,Ultra Spinner 2
47,Ultra Jets 2
48,Striker Billboard
51,Goal Jackpot
52,Extra Ball
53,Goal 2
54,Upper Build Lock
55,Light Magna Goalie
56,Right Flipper Lane
57,Shoot Again
58,Right Special
61,Left Ramp Build Lock
62,Spinner Build Lock
63,Travel
64,Los Angeles
65,Left Ramp Lock
66,Upper Left Lane
67,Upper Right Lane
68,Coin Toss Front (Skill Shot Front)
71,Light Jackpot 2
72,Final Draw
73,Magna-Goal Save
74,Left Flipper Lane
75,Light Kickback
76,Left Ramp Buy Ticket
77,Right Ramp Buy Ticket
78,Ultra Ramps 2
81,Rollover 1 (High)
82,Rollover 2
83,Rollover 3
84,Rollover 4 (Low)
85,Coin Toss Rear (Skill Shot Rear)
86,Coin Toss Center (Skill Shot Center)
87,Buy-in Button
88,Start Button
